"custid","gender","age","marriage","residence","job"
12867,0,29,1,"Jongno-gu","금융기관"
24621,1,35,0,"Songpa-gu","그룹사"
31771,0,41,1,"Eunpyeong-gu","공공기관"
33175,0,42,1,"Gangnam-gu","개인사업"
13143,0,29,1,"Gwanak-gu","개인사업"
21310,1,32,0,"Mapo-gu","전문직"
41134,0,51,1,"Yeongdeungpo-gu","전문직"
22864,0,34,1,"Jungnang-gu","개인사업"
17078,0,31,1,"Seodaemun-gu","제조업"
27293,1,37,0,"Gangnam-gu","개인사업"
27150,0,37,0,"Yangcheon-gu","의료기관"
22735,1,33,1,"Gwangjin-gu","개인사업"
14530,0,30,1,"Jung-gu","운송서비스"
13907,1,29,1,"Seodaemun-gu","그룹사"
36000,0,45,1,"Seocho-gu","제조업"
14657,0,30,1,"Yangcheon-gu","개인사업"
29403,0,39,1,"Gwangjin-gu","제조업"
23430,0,34,0,"Gangnam-gu","연구기관"
49112,0,65,1,"Seodaemun-gu","개인사업"
16870,1,30,1,"Mapo-gu","제조업"
17964,1,31,1,"Gangdong-gu","교육기관"
48796,1,65,1,"Songpa-gu","제조업"
45549,1,56,1,"Mapo-gu","개인사업"
38092,1,47,1,"Gangnam-gu","개인사업"
38747,0,48,1,"Seodaemun-gu","개인사업"
32767,0,42,1,"Gangdong-gu","개인사업"
39150,0,48,1,"Seocho-gu","개인사업"
19410,0,32,0,"Gangdong-gu","개인사업"
15495,0,30,1,"Gangdong-gu","교육기관"
15641,0,30,0,"Seongdong-gu","도소매업"
10350,1,28,0,"Gangnam-gu","제조업"
37591,1,47,1,"Seocho-gu","교육기관"
42130,0,52,1,"Gangnam-gu","개인사업"
10139,0,28,0,"Gangdong-gu","정보서비스"
11182,1,28,0,"Mapo-gu","개인사업"
39671,0,49,1,"Gangdong-gu","제조업"
41047,0,51,1,"Seodaemun-gu","개인사업"
43196,1,53,1,"Songpa-gu","금융기관"
33442,0,43,1,"Gangdong-gu","제조업"
17279,1,31,0,"Mapo-gu","그룹사"
25937,0,36,0,"Gangdong-gu","개인사업"
49470,1,69,1,"Yongsan-gu","제조업"
42036,0,52,1,"Mapo-gu","개인사업"
12175,0,29,1,"Seongdong-gu","개인사업"
38979,0,48,1,"Gwangjin-gu","건설업"
13427,0,29,0,"Mapo-gu","제조업"
10919,0,28,1,"Dongdaemun-gu","개인사업"
35073,0,44,1,"Mapo-gu","교육기관"
36327,0,46,1,"Gangnam-gu","개인사업"
25124,1,35,1,"Gangnam-gu","제조업"
45648,0,56,1,"Seodaemun-gu","개인사업"
19822,0,32,1,"Songpa-gu","교육기관"
31317,0,41,1,"Seodaemun-gu","공무원"
11563,0,28,1,"Guro-gu","제조업"
29557,0,39,1,"Gangnam-gu","운송서비스"
43670,0,54,1,"Gangnam-gu","개인사업"
20798,0,32,0,"Yongsan-gu","개인사업"
21664,0,33,1,"Songpa-gu","개인사업"
37340,1,46,1,"Gwangjin-gu","개인사업"
24548,1,34,1,"Songpa-gu","제조업"
44068,0,54,1,"Yongsan-gu","개인사업"
26698,1,36,1,"Geumcheon-gu","제조업"
20879,0,32,1,"Mapo-gu","제조업"
26014,1,36,1,"Gangdong-gu","개인사업"
37859,0,47,1,"Yangcheon-gu","개인사업"
25412,0,35,1,"Jung-gu","교육기관"
32004,0,42,0,"Gangnam-gu","개인사업"
41672,1,51,1,"Seongdong-gu","연구기관"
28563,1,38,1,"Mapo-gu","정보서비스"
43975,0,54,1,"Seodaemun-gu","개인사업"
37939,1,47,1,"Gangnam-gu","제조업"
16592,1,29,0,"Yongsan-gu","공공기관"
34604,1,44,0,"Gwangjin-gu","건설업"
48044,0,62,1,"Nowon-gu","전문직"
34904,0,44,1,"Seocho-gu","개인사업"
10783,0,28,0,"Dongjak-gu","개인사업"
35832,0,45,1,"Gangnam-gu","제조업"
41407,0,51,0,"Gangnam-gu","건설업"
20670,1,32,1,"Seongdong-gu","전문직"
13072,1,29,0,"Gwanak-gu","그룹사"
27586,0,37,0,"Mapo-gu","개인사업"
39487,0,49,1,"Gangnam-gu","의료기관"
22798,1,33,0,"Seongdong-gu","도소매업"
28638,0,38,1,"Gwangjin-gu","개인사업"
11905,0,29,1,"Songpa-gu","개인사업"
18653,0,31,0,"Seodaemun-gu","의료기관"
11343,0,28,1,"Gwanak-gu","개인사업"
10425,1,28,0,"Songpa-gu","교육기관"
35221,0,44,0,"Yangcheon-gu","개인사업"
10499,0,28,0,"Seodaemun-gu","개인사업"
14117,0,29,1,"Seodaemun-gu","공공기관"
32304,1,42,1,"Gangdong-gu","교육기관"
38809,1,48,1,"Songpa-gu","개인사업"
24849,0,35,1,"Gangdong-gu","개인사업"
42612,0,52,1,"Gwangjin-gu","개인사업"
30648,1,40,1,"Seocho-gu","전문직"
34135,0,43,0,"Yongsan-gu","제조업"
15712,0,30,0,"Gangdong-gu","제조업"
26994,1,37,1,"Yongsan-gu","정보서비스"
21802,0,33,0,"Seocho-gu","제조업"
35387,0,45,1,"Gwangjin-gu","개인사업"
20958,1,32,0,"Gangnam-gu","제조업"
37768,0,47,1,"Gwanak-gu","개인사업"
22249,0,33,0,"Gwangjin-gu","개인사업"
32446,1,42,1,"Gangnam-gu","그룹사"
12526,0,29,0,"Eunpyeong-gu","제조업"
15288,0,30,0,"Gwangjin-gu","제조업"
37256,0,47,1,"Seongdong-gu","개인사업"
32537,0,42,1,"Eunpyeong-gu","개인사업"
14189,0,29,0,"Mapo-gu","금융기관"
12461,0,29,0,"Seocho-gu","금융기관"
29640,0,39,1,"Seodaemun-gu","제조업"
24044,0,34,1,"Seocho-gu","개인사업"
20025,1,32,0,"Seodaemun-gu","그룹사"
39863,1,49,1,"Eunpyeong-gu","교육기관"
38405,0,48,1,"Gangdong-gu","운송서비스"
